Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;camere;camere_piano;insegna;tipo_attivita_ricettiva;MUNICIPIO;LONGIT;LATIT;Location
EA/998;Via BEATO ANGELICO N. 13 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BEATO ANGELICO;13;3204;4;;;Affittacamere;3;9.22631351288;45.4710216038;45.4710216038, 9.22631351288
EA/1047;VIALE CERTOSA N. 40 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIALE CERTOSA;40;7174;4;;residenza paradiso;Foresteria Lombarda/Locanda;8;9.14988813776;45.4910445708;45.4910445708, 9.14988813776
EA/1171;Via GHIBERTI LORENZO N. 30 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GHIBERTI LORENZO;30;6542;5;;HOSTEL LUMIERE;Ostello;7;9.14441982804;45.4742769415;45.4742769415, 9.14441982804
EA/1065;Via PASSARELLA N. 4 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PASSARELLA;4;298;2;2;ALLEGRO APARTAMENTS;Affittacamere;1;9.19452001501;45.4648127621;45.4648127621, 9.19452001501
EA/1157;Via ANTONIO (SANT') N. 9 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ANTONIO (SANT');9;332;5;;CA' MONTEGGIA SAS;Affittacamere;1;9.19335288764;45.4609352933;45.4609352933, 9.19335288764
EA/1053;Corso PORTA TICINESE (DI) N. 24 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Corso PORTA TICINESE (DI);24;541;6;;;Affittacamere;1;9.18092298284;45.4583887867;45.4583887867, 9.18092298284
EA/1054;Via VARESINA N. 214 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VARESINA;214;7290;5;;;Affittacamere;8;9.13607121917;45.5058812631;45.5058812631, 9.13607121917
EA/1033;Via SPALLANZANI LAZZARO N. 6 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SPALLANZANI LAZZARO;6;2153;5;5;;Affittacamere;3;9.20648618272;45.4753436298;45.4753436298, 9.20648618272
EA/1034;Via UGOLINI GIUSEPPE N. 20 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via UGOLINI GIUSEPPE;20;1425;12;;FLOWER HOSTEL;Ostello;9;9.20663525845;45.5054692188;45.5054692188, 9.20663525845
EA/1623;LARGO LA FOPPA N. 5 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;LARGO LA FOPPA;5;1033;1;;CAMERA DELUXE;Foresteria Lombarda/Locanda;1;9.18482114849;45.4784129373;45.4784129373, 9.18482114849
EA/1121;Via BELINZAGHI GIULIO N. 21 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BELINZAGHI GIULIO;21;1318;4;;CASATITTA BED AND BREAKFST;Bed e Breakfast;9;9.1883661258;45.4966891374;45.4966891374, 9.1883661258
EA/1023;Via CASTALDI PANFILO N. 30 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CASTALDI PANFILO;30;2119;1;;;Affittacamere;3;9.20348506499;45.4764324229;45.4764324229, 9.20348506499
EA/1039;Via SACCHINI ANTONIO GASPARE N. 18 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SACCHINI ANTONIO GASPARE;18;2252;3;;;Bed e Breakfast;3;9.22030206533;45.4855920046;45.4855920046, 9.22030206533
EA/1388;Via SETTEMBRINI LUIGI N. 17 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SETTEMBRINI LUIGI;17;2127;5;;HOUSEHOLD SETTEMBRINI;Affittacamere;2;9.20570627386;45.4816555686;45.4816555686, 9.20570627386
EA/1602;VIA TIZIANO N. 14 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA TIZIANO;14;6380;6;;;Foresteria Lombarda/Locanda;8;9.15713641995;45.4712724872;45.4712724872, 9.15713641995
EA/1059;VIA PANIZZA BARTOLOMEO N. 21 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA PANIZZA BARTOLOMEO;21;6208;3;2;B &B ANNABEL;Bed e Breakfast;7;9.16255888851;45.4653661814;45.4653661814, 9.16255888851
EA/1025;Via SARPI FRA' PAOLO N. 63 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SARPI FRA' PAOLO;63;7210;3;;;Bed e Breakfast;8;9.17076542507;45.4809176474;45.4809176474, 9.17076542507
EA/1019;Via PADOVA N. 165 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PADOVA;165;2275;6;;IMMOBILIARE P&G & COMPANY;Affittacamere;2;9.23623304022;45.5010326187;45.5010326187, 9.23623304022
EA/922;Via SPALLANZANI LAZZARO N. 16 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SPALLANZANI LAZZARO;16;2153;2;;;Bed e Breakfast;3;9.20750503879;45.4759585377;45.4759585377, 9.20750503879
EA/991;VIA BROLETTO N. 31 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA BROLETTO;31;720;4;;LOCANDA AL DUOMO;Foresteria Lombarda/Locanda;1;9.1855344248;45.4676784943;45.4676784943, 9.1855344248
EA/994;VIA LEONCAVALLO RUGGERO N. 6 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA LEONCAVALLO RUGGERO;6;2389;2;;;Bed e Breakfast;3;9.22393113682;45.4898813375;45.4898813375, 9.22393113682
EA/1029;Via CAPECELATRO ALFONSO N. 47 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CAPECELATRO ALFONSO;47;6575;2;;;Bed e Breakfast;7;9.12949032023;45.471277926;45.471277926, 9.12949032023
EA/1030;Viale GIOVANNI DA CERMENATE N. 24 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale GIOVANNI DA CERMENATE;24;5261;1;;;Affittacamere;5;9.17907752825;45.4372701502;45.4372701502, 9.17907752825
EA/911;Via BOSCOVICH RUGGERO N. 22 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BOSCOVICH RUGGERO;22;2131;4;;;Affittacamere;2;9.20368355157;45.4818636097;45.4818636097, 9.20368355157
EA/968;Via BASSANO DEL GRAPPA N. 17 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BASSANO DEL GRAPPA;17;2309;1;;;Bed e Breakfast;2;9.22744586484;45.4949856659;45.4949856659, 9.22744586484
EA/960;Via PASSARELLA N. 4 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PASSARELLA;4;298;2;;DUOMO SUITES & APARTMENTS;;1;9.19452001501;45.4648127621;45.4648127621, 9.19452001501
EA/1024;VIA CALVI PIETRO N. 18 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA CALVI PIETRO;18;3083;6;;;Foresteria Lombarda/Locanda;4;9.21017310818;45.4642684597;45.4642684597, 9.21017310818
EA/1066;Via CHIETI N. 1 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CHIETI;1;7193;7;7;GOGOL'OSTELLO;Ostello;8;9.16294407765;45.4846534133;45.4846534133, 9.16294407765
EA/1068;Piazza MARCO (SAN) N. 1 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Piazza MARCO (SAN);1;1040;1;1;;Affittacamere;1;9.18771545611;45.4731724054;45.4731724054, 9.18771545611
EA/915;VIA UGO MULAS numero civico: 4;ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA UGO MULAS;;2721;4;;;Bed e Breakfast;;;;
EA/947;Via ELEMOSINIERI (DEGLI) N. 8 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ELEMOSINIERI (DEGLI);8;2295;5;;;Affittacamere;2;9.21800459898;45.4937156405;45.4937156405, 9.21800459898
EA/1201;Via BASSI MARTINO N. 32 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BASSI MARTINO;32;6451;1;;;Bed e Breakfast;8;9.13759828218;45.4840222455;45.4840222455, 9.13759828218
EA/962;Via LUPETTA N. 3 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LUPETTA;3;523;2;;;Affittacamere;1;9.18653583954;45.4619007759;45.4619007759, 9.18653583954
EA/926;Via LEPETIT ROBERTO N. 31 (z.d. 2) lepetit 31;ATTIVITA RICETTIVE - Strutt. Extra-albergh;;;;3;;;Affittacamere;;;;
EA/927;Via CERVIGNANO N. 1 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CERVIGNANO;1;3218;1;;;Bed e Breakfast;4;9.22169236238;45.4580805419;45.4580805419, 9.22169236238
EA/928;Via UMILIATI (DEGLI) N. 56 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via UMILIATI (DEGLI);56;3347;1;;;;4;9.26498373552;45.4380415458;45.4380415458, 9.26498373552
EA/935;Via URBINO N. 9 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via URBINO;9;1638;5;;;Ostello;9;9.16996293437;45.5295409505;45.5295409505, 9.16996293437
EA/909;Via GORKI MASSIMO N. 11 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GORKI MASSIMO;11;5139;1;;;Bed e Breakfast;6;9.15063279075;45.45037685;45.45037685, 9.15063279075
EA/914;Via TOMASO (SAN) N. 6 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via TOMASO (SAN);6;723;6;;;Affittacamere;1;9.1846587878;45.467274785;45.467274785, 9.1846587878
EA/940;Via BELLOTTI FELICE N. 3 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BELLOTTI FELICE;3;3070;6;;;Affittacamere;3;9.20733950333;45.4708069075;45.4708069075, 9.20733950333
EA/1032;Via PORPORA NICOLA ANTONIO N. 50 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PORPORA NICOLA ANTONIO;50;2229;5;;;Affittacamere;3;9.22223681748;45.4859318428;45.4859318428, 9.22223681748
EA/942;Viale LUNIGIANA N. 24 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale LUNIGIANA;24;1214;;;;Affittacamere;2;9.20369267722;45.4925436487;45.4925436487, 9.20369267722
EA/943;Via VOGHERA N. 8 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VOGHERA;8;5123;1;;;Bed e Breakfast;6;9.16804776706;45.4544762586;45.4544762586, 9.16804776706
EA/944;Via BELLOTTI FELICE N. 3 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BELLOTTI FELICE;3;3070;5;;;Affittacamere;3;9.20733950333;45.4708069075;45.4708069075, 9.20733950333
EA/983;Viale ABRUZZI N. 70 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale ABRUZZI;70;2177;6;;;Affittacamere;3;9.21729988324;45.4825376265;45.4825376265, 9.21729988324
EA/955;Via CALVINO GIOVANNI N. 11 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CALVINO GIOVANNI;11;7532;40;;OSTELLO NEW MOON RESORT HOSTEL;Ostello;8;9.17132322554;45.4905556968;45.4905556968, 9.17132322554
EA/956;Via BERTONI RENZO N. 3 (z.d. 1) fara 39;ATTIVITA RICETTIVE - Strutt. Extra-albergh;;;;23;;THE MONASTERY HOSTEL;Ostello;;;;
EA/957;Via PESCARA N. 56 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PESCARA;56;5445;4;;LA CORTE DEL RONCHETTO;Affittacamere;5;9.18218457634;45.4000502205;45.4000502205, 9.18218457634
EA/945;Viale LUNIGIANA N. 24 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale LUNIGIANA;24;1214;5;;;Affittacamere;2;9.20369267722;45.4925436487;45.4925436487, 9.20369267722
EA/1455;Viale REGINA MARGHERITA N. 9 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale REGINA MARGHERITA;9;3059;14;;QUEEN HOSTEL;Ostello per la Gioventù;1;9.20480100962;45.4582871258;45.4582871258, 9.20480100962
EA/936;Via LATTANZIO N. 72 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LATTANZIO;72;4091;4;;;Affittacamere;4;9.21796143392;45.4538323918;45.4538323918, 9.21796143392
EA/995;Via DESIDERIO N. 24 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via DESIDERIO;24;2565;7;;;Ostello;3;9.23272023346;45.4847524139;45.4847524139, 9.23272023346
EA/1000;Via OSCULATI GAETANO N. 1 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via OSCULATI GAETANO;1;1547;3;;;Bed e Breakfast;9;9.16957937242;45.5167340529;45.5167340529, 9.16957937242
EA/1001;Via IMOLA N. 3 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via IMOLA;3;1275;6;;VILLA CHETA;Affittacamere;9;9.16969769282;45.5024605356;45.5024605356, 9.16969769282
EA/949;Viale MONZA N. 111 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale MONZA;111;2274;4;;;Affittacamere;2;9.21990254497;45.4976992292;45.4976992292, 9.21990254497
EA/951;Via COMANDINI ALFREDO N. 16 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via COMANDINI ALFREDO;16;1380;6;;;Affittacamere;2;9.1996249209;45.4998336219;45.4998336219, 9.1996249209
EA/953;Via VARESINA N. 63 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VARESINA;63;7290;6;;;Affittacamere;8;9.14530917268;45.49751217;45.49751217, 9.14530917268
EA/963;Via CALISTO DA LODI N. 13 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CALISTO DA LODI;13;7393;1;;SERENAIA;Bed e Breakfast;8;9.14131203037;45.4973997154;45.4973997154, 9.14131203037
EA/913;VIA NN N. 0 ();ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA NN;0;0;6;;;Affittacamere;;;;
EA/1287;Via LONGARONE N. 14 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LONGARONE;14;7520;4;;;Bed e Breakfast;8;9.14061310109;45.5196966088;45.5196966088, 9.14061310109
EA/1005;Via CAMINADELLA N. 6 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CAMINADELLA;6;551;1;;LA CASA DI E.;Bed e Breakfast;1;9.17794126633;45.4594444823;45.4594444823, 9.17794126633
EA/1006;Via MONFERRATO N. 6 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MONFERRATO;6;6245;2;;VILLA ESCANDAR;Affittacamere;7;9.15681852717;45.4658201029;45.4658201029, 9.15681852717
EA/964;Viale CERTOSA N. 32 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale CERTOSA;32;7174;1;;B & B FIERA MILANO CITY;Bed e Breakfast;8;9.15100847914;45.4905415205;45.4905415205, 9.15100847914
EA/965;Via SARDEGNA N. 34 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SARDEGNA;34;6265;3;;BED & CAFE';Bed e Breakfast;7;9.15116074894;45.4624147964;45.4624147964, 9.15116074894
EA/967;Via PIZZI GIAN FRANCESCO N. 14 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PIZZI GIAN FRANCESCO;14;4270;4;;LA MAISON DEL CAPESTRANO;Affittacamere;5;9.20195700304;45.4368883087;45.4368883087, 9.20195700304
EA/988;Via LECCO N. 2 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LECCO;2;2110;1;;MILAN PORTA VENEZIA;Affittacamere;3;9.20352842293;45.4759502364;45.4759502364, 9.20352842293
EA/990;Via BARONA N. 5 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BARONA;5;5356;2;;BED & BREAKFAST AZZURRO;Bed e Breakfast;6;9.15392035937;45.4354768012;45.4354768012, 9.15392035937
EA/1016;Via INAMA VIGILIO N. 17 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via INAMA VIGILIO;17;3169;3;;VIA DOMUS;Affittacamere;3;9.23307886798;45.4727974137;45.4727974137, 9.23307886798
EA/1017;Via BELGIOIOSO CRISTINA N. 2 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BELGIOIOSO CRISTINA;2;7501;1;;SCHIAVO CLAUDIA;;8;9.11872940041;45.5180399247;45.5180399247, 9.11872940041
EA/1021;Via DIOTTI BENEDETTO N. 16 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via DIOTTI BENEDETTO;16;6753;1;;LA CASA DI NICCA;Bed e Breakfast;7;9.08872043853;45.4693436831;45.4693436831, 9.08872043853
EA/1010;Via RIPAMONTI GIUSEPPE N. 218 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via RIPAMONTI GIUSEPPE;218;4066;2;;MILANO RIPA 218;Bed e Breakfast;5;9.20197173355;45.4299419676;45.4299419676, 9.20197173355
EA/1008;Via BRONZINO N. 20 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BRONZINO;20;2191;2;;BRONZINO HOUSE;Affittacamere;3;9.21953298131;45.4775981322;45.4775981322, 9.21953298131
EA/1013;Via CAMPANINI ALFREDO N. 3 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CAMPANINI ALFREDO;3;1077;3;;;Affittacamere;9;9.19782286545;45.4860502679;45.4860502679, 9.19782286545
EA/1027;Via FARINI CARLO N. 4 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via FARINI CARLO;4;1114;4;;;Bed e Breakfast;9;9.18171065926004;45.4830387006637;45.4830387006637, 9.18171065926004
EA/1119;VIA TOMASO (SAN) N. 6 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA TOMASO (SAN);6;723;5;;LE TERRAZZE;Foresteria Lombarda/Locanda;1;9.1846587878;45.467274785;45.467274785, 9.1846587878
EA/1147;Via GONIN FRANCESCO N. 7 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GONIN FRANCESCO;7;5376;2;;;Affittacamere;6;9.12790257735;45.4438291983;45.4438291983, 9.12790257735
EA/1124;Via TORTONA N. 10 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via TORTONA;10;5124;2;;;Affittacamere;6;9.16930941166;45.4544183495;45.4544183495, 9.16930941166
EA/1124;Via TORTONA N. 10 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via TORTONA;10;5124;2;;;Affittacamere;6;9.16930941166;45.4544183495;45.4544183495, 9.16930941166
EA/1125;Via MESSINA N. 8 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MESSINA;8;7211;1;;;Bed e Breakfast;8;9.17578570247;45.4822024482;45.4822024482, 9.17578570247
EA/1126;Via DESENZANO N. 8 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via DESENZANO;8;6610;1;;;Bed e Breakfast;7;9.14063040093;45.4622823061;45.4622823061, 9.14063040093
EA/1128;Via AGNELLO N. 1 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via AGNELLO;1;209;5;;;;1;9.19320944105;45.4649838919;45.4649838919, 9.19320944105
EA/1130;VIA PASSARELLA N. 4 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA PASSARELLA;4;298;2;;;Foresteria Lombarda/Locanda;1;9.19452001501;45.4648127621;45.4648127621, 9.19452001501
EA/1288;Via BALILLA N. 14 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BALILLA;14;5207;4;;FASTIN HOME BOCCONI - NAVIGLI;Bed e Breakfast;5;9.1817398827;45.4478603627;45.4478603627, 9.1817398827
EA/1043;Via OROMBELLI (DEGLI) N. 7 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via OROMBELLI (DEGLI);7;2579;2;;;Bed e Breakfast;3;9.23540576737;45.4835964816;45.4835964816, 9.23540576737
EA/1115;Via LAMBRATE N. 18 (z.d. 3) lambrate 18;ATTIVITA RICETTIVE - Strutt. Extra-albergh;;;;8;;;;;;;
EA/1109;Via LORENTEGGIO N. 141 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LORENTEGGIO;141;5132;2;;;Affittacamere;6;9.14084568673;45.4511790307;45.4511790307, 9.14084568673
EA/1116;Via PONZIO GIUSEPPE N. 75 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PONZIO GIUSEPPE;75;2585;5;;;Ostello;3;9.22973971724;45.4815175766;45.4815175766, 9.22973971724
EA/1093;Via STRADIVARI ANTONIO N. 7 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via STRADIVARI ANTONIO;7;2239;1;;;Bed e Breakfast;3;9.21636978673;45.4840762462;45.4840762462, 9.21636978673
EA/1094;Via MURATORI LODOVICO N. 26 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MURATORI LODOVICO;26;4076;4;;RED VELVET;Bed e Breakfast;4;9.20841385179;45.4515527562;45.4515527562, 9.20841385179
EA/1151;VIALE LOMBARDIA N. 66 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIALE LOMBARDIA;66;2400;3;;pattini guest house;Foresteria Lombarda/Locanda;3;9.22376604792;45.4868119979;45.4868119979, 9.22376604792
EA/1120;Viale ABRUZZI N. 70 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale ABRUZZI;70;2177;5;;;Affittacamere;3;9.21729988324;45.4825376265;45.4825376265, 9.21729988324
EA/975;Via MARSALA N. 11 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MARSALA;11;1035;1;;MARSALASUITE;Bed e Breakfast;1;9.18643386985;45.4791333751;45.4791333751, 9.18643386985
EA/1096;VIA CARNEVALI ANTONIO N. 116 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA CARNEVALI ANTONIO;116;1268;3;;BOVISA HOUSE;Foresteria Lombarda/Locanda;9;9.1666504271;45.5019440877;45.5019440877, 9.1666504271
EA/1154;Largo LA FOPPA N. 5 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Largo LA FOPPA;5;1033;2;;ROOM INN;Affittacamere;1;9.18482114849;45.4784129373;45.4784129373, 9.18482114849
EA/1161;Via RUBENS PIETRO N. 19 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via RUBENS PIETRO;19;6597;4;;HELLO MILANO;Affittacamere;7;9.14350187974;45.4670966111;45.4670966111, 9.14350187974
EA/1162;Via LAMARMORA ALFONSO N. 18 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LAMARMORA ALFONSO;18;4103;2;;AFFITTACAMERE LAMARMORA 18;Affittacamere;1;9.1985600985;45.4564235577;45.4564235577, 9.1985600985
EA/1123;Viale MONZA N. 111 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale MONZA;111;2274;4;;;Affittacamere;2;9.21990254497;45.4976992292;45.4976992292, 9.21990254497
EA/1069;Via LORIA MOISE' N. 50 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LORIA MOISE';50;6100;2;2;;Bed e Breakfast;6;9.15954457576;45.4565533799;45.4565533799, 9.15954457576
EA/1070;Corso PORTA TICINESE (DI) N. 24 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Corso PORTA TICINESE (DI);24;541;5;5;LE COLONNE SAS DI PAOLA ROBERTI;Affittacamere;1;9.18092298284;45.4583887867;45.4583887867, 9.18092298284
EA/1038;Viale TIBALDI N. 24 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale TIBALDI;24;5234;1;;LA STANZA BLU;Bed e Breakfast;5;9.17945454922;45.443305458;45.443305458, 9.17945454922
EA/1079;Via BUGATTI ETTORE N. 5 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BUGATTI ETTORE;5;4353;2;;;Affittacamere;5;9.17824130361;45.416940656;45.416940656, 9.17824130361
EA/1080;Via TAGGIA N. 26 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via TAGGIA;26;6303;2;;;Bed e Breakfast;7;9.10453577658;45.4728044969;45.4728044969, 9.10453577658
EA/1108;Via MONTE ALTISSIMO N. 12 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MONTE ALTISSIMO;12;7402;5;;;Affittacamere;8;9.1420958097;45.5015891027;45.5015891027, 9.1420958097
EA/1084;Viale MONZA N. 111 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale MONZA;111;2274;3;;SCREAM HOUSE;Bed e Breakfast;2;9.21990254497;45.4976992292;45.4976992292, 9.21990254497
EA/1095;Via CARPACCIO N. 4 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via CARPACCIO;4;2210;6;;;Affittacamere;3;9.2228056037;45.4787894628;45.4787894628, 9.2228056037
EA/1129;Via GIOIA MELCHIORRE N. 71 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GIOIA MELCHIORRE;71;1108;6;;B E B IAMHERE GIOIA 71;Affittacamere;2;9.20055549893;45.48940789;45.48940789, 9.20055549893
EA/1131;Via REBORA CLEMENTE N. 7 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via REBORA CLEMENTE;7;2604;2;;;Affittacamere;2;9.23385916164;45.5114602927;45.5114602927, 9.23385916164
EA/1132;Via PASSARELLA N. 4 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PASSARELLA;4;298;2;;ALLEGRO SUITES;Affittacamere;1;9.19452001501;45.4648127621;45.4648127621, 9.19452001501
EA/1134;Via UGOLINI GIUSEPPE N. 20 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via UGOLINI GIUSEPPE;20;1425;12;;THE HOSTEL;Ostello;9;9.20663525845;45.5054692188;45.5054692188, 9.20663525845
EA/1135;Via VANNUCCI ATTO N. 22 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VANNUCCI ATTO;22;4056;1;;;Affittacamere;5;9.19972706713;45.4493782899;45.4493782899, 9.19972706713
EA/1035;Via GRIGNA N. 21 (z.d. 8);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via GRIGNA;21;7239;2;;;Bed e Breakfast;8;9.15513045798;45.4943077184;45.4943077184, 9.15513045798
EA/1137;Via SOLARI ANDREA N. 11 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SOLARI ANDREA;11;5111;6;;MILOFT;Affittacamere;6;9.1668785859;45.4563726664;45.4563726664, 9.1668785859
EA/1110;Via MELZO N. 28 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MELZO;28;2184;4;;;Affittacamere;3;9.20835199543;45.4750668275;45.4750668275, 9.20835199543
